Ref Temp (Â°C),Strain Rate 1e-06 (1/s),Strain Rate 1e-05 (1/s),Strain Rate 0.0001 (1/s),Strain Rate 0.001 (1/s),Strain Rate 0.01 (1/s),Strain Rate 0.1 (1/s)
30,118.84542388587977,213.42906652616546,336.54037387171826,474.0920645493592,604.1033491981025,708.9326814461722
40,73.3253563822991,147.51620571629365,252.59468229439955,382.80860945387434,520.3131398930441,643.1750114862765
50,43.190339082230736,101.09646951754223,188.29672386219178,305.47753052792984,441.4878224716953,575.2324142969983
60,22.53056918995043,67.85534614322452,139.2635912435917,241.49641175660332,369.9518196531907,507.73918875227747
70,6.870353051696225,41.82968101763889,98.94390576897291,185.20054838101314,301.572567938292,437.294778437324
80,-5.0272568055098645,21.55006588329203,66.24736872534899,136.823362407077,238.18804691084964,366.0810732989417
90,-14.069847563708064,5.82964881895094,40.07362889407293,96.15832450685903,181.17806268710711,296.47305272193313
100,-20.91860648219145,-6.260220178178844,19.42246918765261,62.748478155314736,131.49087651913896,230.91546581120681
110,-25.722376462931784,-14.837258596881899,4.482940480227745,37.79623103876206,92.53309220458156,175.9161775116348
120,-29.92515905578395,-22.40839868763465,-8.911555381262454,14.830463465104357,55.150957114184095,119.80357137156845
